text,time
#货拉拉跳窗身亡女孩搬家视频曝光#唉...还不如不跳呢，如果没跳的话不管怎样也许会有一线生机...,21-2-23 12:56
#货拉拉跳窗身亡女孩搬家视频曝光#搬家视频只能证明搬家时，身亡女孩是正常的，但也证明不了货拉拉司机是不正常的，只要没有跳窗前几分钟的视音频，就无法解开身亡女孩到底遭遇了什么。现在只有货拉拉司机的一面之词，身亡女孩到底是自己跳窗的，还是受到惊吓被逼跳窗的，或者根本就不是行进中跳窗的，具体的细节情形，当地警方并没有给出调查结论，网友们觉得死亡原因很蹊跷，只能靠推理想象了。喀什市,21-2-23 12:47
女孩乘货拉拉身亡：警方成立专案组，货拉拉与家属二次当面沟通女孩乘货拉拉身亡：警方成立专案组，货拉拉与家属二次当面沟通#货拉拉跳窗身亡女孩搬家视频曝光##23岁女生在货拉拉车上跳窗身亡##货拉拉回应女子跳窗身亡##湖南23岁女子在货拉拉车上跳窗身亡##货拉拉回应23岁女子跳窗身亡#,21-2-23 12:46
万水千山总是情，点赞评论行不行,21-2-23 12:49
#货拉拉跳窗身亡女孩搬家视频曝光#看微博:凶手是司机看知乎:凶手不一定是司机希望不会冤枉一个好人，也不要放过一个坏人。看评论区吵来吵去真的挺没必要希望能早日揭开真相，还女孩一个公道。,21-2-23 12:37
有道理,21-2-23 13:10
#货拉拉跳窗身亡女孩搬家视频曝光#这叫什么，受害者有罪论吗？居然还有人怪受害者家人,21-2-23 12:33
这个速度跳车根本不会死人的，因为老天爷要收她。她活着会让更多的人痛苦，他的快乐建立在别人痛苦之上。所以老天爷要收她。,21-3-8 21:34
#货拉拉跳窗身亡女孩搬家视频曝光#天啦一想到她原本要重新开始生活但是遭遇不测狗狗等不到主人了,21-2-23 12:28
#货拉拉跳窗身亡女孩搬家视频曝光#以前公司搬家，新地址有3个人在，原地址到晚上除了我就还有一个女生守。已经搬到了凌晨1点多中途休息，我给搬东西人员发矿泉水，中间一个人突然问我，美女你给我们买点吃的嘛，你看我们搬那么久也饿啊，然后一群人带点戏虐得盯着我们，我就让那个女生赶紧去买，怕她一个人留下危险，也有贵重物品，我留下一直和朋友保持通话中不敢挂掉，当时凌晨2点，心里还是有点怕怕的。,21-2-23 12:27
#货拉拉跳窗身亡女孩搬家视频曝光#货拉拉司机还被释放了，很无奈的结果。不是自身收到威胁，谁会无缘无故跳车，平台一直甩锅……,21-2-23 12:26
特色,21-2-23 14:10
#货拉拉跳窗身亡女孩搬家视频曝光#？？受害者家属要的是车上发生了什么的视频！阴间新闻司机无证据已被释放#23岁女生在货拉拉车上跳窗身亡#分享自己的真实经历也不行？？！那看图吧已收录网页链接,21-2-23 12:25
#货拉拉跳窗身亡女孩搬家视频曝光#实在让人心疼一个年轻生命的逝去！身边潜伏着多少危险我们都不自知。所有人一眼就看明白的事情如果没有证据也很难让真相大白于天下，只有寄希望于人民警察尽快破案，让坏人绳之以法，让不规范的平台能吸取教训，让失去亲人的家人能聊以慰藉，祈祷善念和良知终将战胜邪恶！,21-2-23 12:25
